COMET FPGA pin,Pathfinder COMET connector,DCB data GBTx pin,Signal ID
COMET_A_J2-IC3-203,COMET_A_J2-63,U3_IC2-R17,DC2_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-204,COMET_A_J2-65,U3_IC2-P17,DC2_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-205,COMET_A_J2-69,U3_IC2-K15,DC2_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-206,COMET_A_J2-71,U3_IC2-L15,DC2_ELKS.GBTX_ELK_CH11_1_P
COMET_A_J2-IC3-5,COMET_A_J2-75,U2_IC2-R17,DC1_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-6,COMET_A_J2-77,U2_IC2-P17,DC1_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-82,COMET_A_J2-83,U2_IC2-L15,DC1_ELKS.GBTX_ELK_CH11_1_P
COMET_A_J2-IC3-83,COMET_A_J2-81,U2_IC2-K15,DC1_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-84,COMET_A_J2-90,U1_IC2-F7,DC0_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J2-IC3-85,COMET_A_J2-88,U1_IC2-F8,DC0_ELKS.GBTX_ELK_CH7_1_N
COMET_A_J2-IC3-86,COMET_A_J2-84,U1_IC2-D9,DC0_ELKS.GBTX_ELK_CH6_1_P
COMET_A_J2-IC3-87,COMET_A_J2-82,U1_IC2-D10,DC0_ELKS.GBTX_ELK_CH6_1_N
COMET_A_J2-IC3-90,COMET_A_J2-78,U2_IC2-F7,DC1_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J2-IC3-91,COMET_A_J2-76,U2_IC2-F8,DC1_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-159,COMET_B_J1-89,U6_IC2-T11,DC5_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-160,COMET_B_J1-91,U6_IC2-T12,DC5_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-161,COMET_B_J1-95,U6_IC2-U6,DC5_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-163,COMET_B_J1-97,U6_IC2-U5,DC5_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-166,COMET_B_J1-6,U2_IC2-D9,DC1_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-167,COMET_B_J1-8,U2_IC2-D10,DC1_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-168,COMET_B_J1-12,U3_IC2-F7,DC2_ELKS.GBTX_ELK_CH7_1_P
COMET_B_J1-IC3-169,COMET_B_J1-14,U3_IC2-F8,DC2_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-177,COMET_B_J1-5,U5_IC2-D9,DC4_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-179,COMET_B_J1-7,U5_IC2-D10,DC4_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-180,COMET_B_J1-11,U6_IC2-F7,DC5_ELKS.GBTX_ELK_CH7_1_P
COMET_B_J1-IC3-181,COMET_B_J1-13,U6_IC2-F8,DC5_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-182,COMET_B_J1-17,U6_IC2-D9,DC5_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-183,COMET_B_J1-19,U6_IC2-D10,DC5_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-188,COMET_B_J1-29,U1_IC2-T11,DC0_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-189,COMET_B_J1-31,U1_IC2-T12,DC0_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-190,COMET_B_J1-35,U1_IC2-U6,DC0_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-191,COMET_B_J1-37,U1_IC2-U5,DC0_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-193,COMET_B_J1-41,U2_IC2-T11,DC1_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-194,COMET_B_J1-43,U2_IC2-T12,DC1_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-196,COMET_B_J1-47,U2_IC2-U6,DC1_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-197,COMET_B_J1-49,U2_IC2-U5,DC1_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-198,COMET_B_J1-53,U3_IC2-T11,DC2_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-199,COMET_B_J1-55,U3_IC2-T12,DC2_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-201,COMET_B_J1-59,U3_IC2-U6,DC2_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-202,COMET_B_J1-61,U3_IC2-U5,DC2_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-203,COMET_B_J1-65,U4_IC2-T11,DC3_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-204,COMET_B_J1-67,U4_IC2-T12,DC3_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-205,COMET_B_J1-71,U4_IC2-U6,DC3_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-206,COMET_B_J1-73,U4_IC2-U5,DC3_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-5,COMET_B_J1-77,U5_IC2-T11,DC4_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-6,COMET_B_J1-79,U5_IC2-T12,DC4_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-82,COMET_B_J1-85,U5_IC2-U5,DC4_ELKS.GBTX_ELK_CH4_1_N
